Altium Designer Pick and Place Locations
\\SERVIDOR\Engenharia\Altium\DOCS_ALTIUM\DET_090\PP_DET_090_No Variations.csv

========================================================================================================================
File Design Information:

Date:       17/05/19
Time:       13:35
Revision:   219
Variant:    No variations
Units used: mm

"code","Designator","Center-X(mm)","Center-Y(mm)","Rotation","Layer","sma_code"
"414472002","ALIVE1","29.3624","43.5864","360","TopLayer","LED-0805-SUYG0805-VD"
"410461001","C9","42.1388","8.3056","180","TopLayer","CAP-MAB-10uF16V"
"410462001","C10","41.7068","14.0208","360","TopLayer","CAP-0805-100nFX50V"
"410667001","C11","18.1356","20.7518","270","TopLayer","CAP-1206-2.2uFX16V"
"410667001","C12","22.5806","43.9928","180","TopLayer","CAP-1206-2.2uFX16V"
"410655002","C22","61.1378","8.5598","360","TopLayer","CAP-6354-47UF25V"
"410655002","C23","50.7238","8.5344","360","TopLayer","CAP-6354-47UF25V"
"410462001","C24","65.8876","14.2748","90","TopLayer","CAP-0805-100NFX50V"
"410462001","C25","47.4726","21.7678","270","TopLayer","CAP-0805-100NFX50V"
"410462001","C26","17.7546","27.1178","90","TopLayer","CAP-0805-100NFX50V"
"410462001","C27","13.1484","26.2754","360","TopLayer","CAP-0805-100NFX50V"
"410462001","C28","18.0086","31.5468","90","TopLayer","CAP-0805-100NFX50V"
"410462001","C29","18.0086","35.9758","90","TopLayer","CAP-0805-100NFX50V"
"410462001","C48","62.6484","23.2754","90","TopLayer","CAP-0805-100NFX50V"
"400407008","CN1","6.8327","42.8498","180","TopLayer",""
"400407008","CN2","6.9849","4.7011","180","TopLayer",""
"435578006","D1","70.9930","19.1008","360","TopLayer","DIO-SMA-S1G"
"403658001","F1","16.7136","13.8432","270","TopLayer","FUS-1210-USMF010-2"
"403658001","F2","13.2136","13.8178","270","TopLayer","FUS-1210-USMF010-2"
"","HOLE1","71.4056","4.6993","0","TopLayer",""
"","HOLE2","71.4080","42.6955","0","TopLayer",""
"","HOLE3","15.3478","4.6941","0","TopLayer",""
"","HOLE4","15.3478","42.6941","0","TopLayer",""
"400405001","J3","77.6085","15.6443","270","TopLayer",""
"400403003","J4","4.3403","23.9555","90","TopLayer",""
"446660001","L1","41.8846","11.3538","360","TopLayer","IND-0805-120uH-BLM21AG121SN1D"
"407661001","L3","59.8984","23.0254","270","TopLayer","IND-1206-3.3UH-AIML"
"312359003/400414013","MOD1","38.0492","3.0226","360","TopLayer",""
"","P1","28.1686","10.3378","180","TopLayer",""
"418485015","R1","32.1600","14.0462","270","TopLayer","RES-0805-22R"
"418485015","R2","26.9458","14.0462","270","TopLayer","RES-0805-22R"
"418485015","R3","24.3586","14.0462","270","TopLayer","RES-0805-22R"
"418485006","R5","34.7472","14.0462","270","TopLayer","RES-0805-10R"
"418485001","R6","47.9298","38.8112","180","TopLayer","RES-0805-0R"
"418485029","R7","33.9504","43.5864","180","TopLayer","RES-0805-470R"
"418485007","R10","41.7576","16.5608","360","TopLayer","RES-0805-10K"
"418485028","R12","46.3804","43.2054","90","TopLayer","RES-0805-4K7"
"418485015","R13","57.6484","43.5254","270","TopLayer","RES-0805-22R"
"418485013","R18","56.3984","23.0254","180","TopLayer","RES-0805-2K2"
"418485013","R19","50.1142","36.2966","180","TopLayer","RES-0805-2K2"
"418485013","R23","76.6484","41.2754","360","TopLayer","RES-0805-2K2"
"418485044","R24","66.3984","43.5254","270","TopLayer","RES-0805-4K99"
"418485013","R25","63.6484","43.5254","90","TopLayer","RES-0805-2K2"
"418485013","R26","60.6484","43.5254","90","TopLayer","RES-0805-2K2"
"418485029","R27","19.6596","14.1478","90","TopLayer","RES-0805-470R"
"418485029","R28","10.0330","14.1224","90","TopLayer","RES-0805-470R"
"","R29","14.9636","10.1386","360","TopLayer",""
