code	,Designator	,Center-X(mm)	,Center-Y(mm)	,Rotation	,Layer	,sma_code	                 
410462001          ,C1         ,174.8790    ,83.3120     ,360      ,TopLayer ,CAP-0805-100nFX50V           
410462001          ,C2         ,137.0838    ,70.3580     ,180      ,TopLayer ,CAP-0805-100nFX50V           
410462001          ,C3         ,163.8300    ,55.3720     ,270      ,TopLayer ,CAP-0805-100nFX50V           
410462001          ,C4         ,144.4284    ,60.0543     ,270      ,TopLayer ,CAP-0805-100nFX50V           
410462001          ,C5         ,174.3710    ,64.6181     ,360      ,TopLayer ,CAP-0805-100nFX50V           
410462001          ,C6         ,137.1600    ,75.1392     ,180      ,TopLayer ,CAP-0805-100nFX50V           
410462001          ,C7         ,170.5610    ,47.8110     ,270      ,TopLayer ,CAP-0805-100nFX50V           
410462001          ,C8         ,157.3332    ,55.3720     ,270      ,TopLayer ,CAP-0805-100nFX50V           
410462001          ,C9         ,147.1930    ,60.0543     ,270      ,TopLayer ,CAP-0805-100nFX50V           
410667001          ,C10        ,149.1488    ,88.8492     ,90       ,TopLayer ,CAP-1206-2.2uFX16V           
410667001          ,C11        ,175.0695    ,80.8911     ,360      ,TopLayer ,CAP-1206-2.2uFX16V           
410461001          ,C12        ,173.2282    ,51.6024     ,270      ,TopLayer ,CAP-MAB-10uF16V              
410462011          ,C13        ,170.5610    ,51.6022     ,270      ,TopLayer ,CAP-0805-10nFX50V            
410462007          ,C14        ,157.8610    ,45.6629     ,270      ,TopLayer ,CAP-0805-33nFX50V            
410462007          ,C15        ,163.1950    ,45.6439     ,270      ,TopLayer ,CAP-0805-33nFX50V            
410461001          ,C16        ,178.7421    ,51.6024     ,270      ,TopLayer ,CAP-MAB-10uF16V              
410462011          ,C17        ,176.0220    ,51.6022     ,270      ,TopLayer ,CAP-0805-10nFX50V            
410654003          ,C18        ,147.7304    ,45.7200     ,270      ,TopLayer ,CAP-0805-6.8nFX50V           
410654003          ,C19        ,155.7020    ,45.6629     ,270      ,TopLayer ,CAP-0805-6.8nFX50V           
410462001          ,C20        ,152.0324    ,124.1552    ,90       ,TopLayer ,CAP-0805-100nFX50V           
410462001          ,C21        ,134.2390    ,107.6960    ,180      ,TopLayer ,CAP-0805-100nFX50V           
410462001          ,C22        ,140.4620    ,100.2030    ,270      ,TopLayer ,CAP-0805-100nFX50V           
410462001          ,C23        ,144.3990    ,119.1260    ,90       ,TopLayer ,CAP-0805-100nFX50V           
410461001          ,C24        ,132.9689    ,122.3008    ,90       ,TopLayer ,CAP-MAB-10uF16V              
410462001          ,C25        ,138.4300    ,100.1267    ,270      ,TopLayer ,CAP-0805-100nFX50V           
410462001          ,C26        ,136.5919    ,119.1260    ,90       ,TopLayer ,CAP-0805-100nFX50V           
410462001          ,C27        ,147.4470    ,100.1014    ,270      ,TopLayer ,CAP-0805-100nFX50V           
410462001          ,C28        ,133.4008    ,129.3876    ,180      ,TopLayer ,CAP-0805-100nFX50V           
410462001          ,C29        ,136.2710    ,55.3720     ,180      ,TopLayer ,CAP-0805-100nFX50V           
410462008          ,C30        ,137.9220    ,37.5656     ,360      ,TopLayer ,CAP-0805-22pFX50V            
410462008          ,C31        ,130.7907    ,37.5098     ,180      ,TopLayer ,CAP-0805-22pFX50V            
410462001          ,C32        ,91.1546     ,131.3590    ,90       ,TopLayer ,CAP-0805-100nFX50V           
410462001          ,C33        ,94.7070     ,126.7032    ,270      ,TopLayer ,CAP-0805-100nFX50V           
410462001          ,C34        ,91.1860     ,136.4096    ,270      ,TopLayer ,CAP-0805-100nFX50V           
410462001          ,C35        ,97.2470     ,126.7226    ,270      ,TopLayer ,CAP-0805-100nFX50V           
410462001          ,C36        ,99.7870     ,126.7032    ,270      ,TopLayer ,CAP-0805-100nFX50V           
410462001          ,C37        ,196.9770    ,122.6090    ,270      ,TopLayer ,CAP-0805-100nFX50V           
410462001          ,C38        ,179.0700    ,76.4540     ,360      ,TopLayer ,CAP-0805-100nFX50V           
410462001          ,C39        ,176.0220    ,69.0410     ,360      ,TopLayer ,CAP-0805-100nFX50V           
410462003          ,C109       ,105.6132    ,89.5350     ,90       ,TopLayer ,CAP-0805-1uFX50V             
410461001          ,C110       ,94.3624     ,88.9386     ,90       ,TopLayer ,CAP-MAB-10uF16V              
410462001          ,C111       ,96.8678     ,88.6462     ,90       ,TopLayer ,CAP-0805-100nFX50V           
410461001          ,C112       ,99.3367     ,89.3293     ,90       ,TopLayer ,CAP-MAB-10uF16V              
410462001          ,C113       ,93.0322     ,71.0278     ,270      ,TopLayer ,CAP-0805-100nFX50V           
410462001          ,C114       ,91.8210     ,88.6460     ,90       ,TopLayer ,CAP-0805-100nFX50V           
410462001          ,C115       ,101.9177    ,89.5350     ,90       ,TopLayer ,CAP-0805-100nFX50V           
410462001          ,C116       ,103.7590    ,89.5350     ,90       ,TopLayer ,CAP-0805-100nFX50V           
410462001          ,C117       ,108.7120    ,78.0974     ,90       ,TopLayer ,CAP-0805-100nFX50V           
410462001          ,C118       ,261.7470    ,79.9084     ,90       ,TopLayer ,CAP-0805-100nFX50V           
410461002          ,C120       ,256.3114    ,60.9092     ,360      ,TopLayer ,CAP-MAC-10uF35V              
410462001          ,C121       ,254.1270    ,80.0608     ,90       ,TopLayer ,CAP-0805-100nFX50V           
410461002          ,C123       ,245.6180    ,60.8330     ,360      ,TopLayer ,CAP-MAC-10uF35V              
410458014          ,C124       ,299.5930    ,136.1449    ,360      ,TopLayer ,""                           
410462006          ,C125       ,234.8738    ,118.8466    ,270      ,TopLayer ,CAP-0805-330nFX50V           
410460020          ,C126       ,280.7462    ,109.6772    ,0        ,TopLayer ,""                           
410462001          ,C127       ,235.9152    ,122.4280    ,0        ,TopLayer ,CAP-0805-100NFX50V           
410462001          ,C128       ,245.5672    ,79.9084     ,90       ,TopLayer ,CAP-0805-100nFX50V           
410458024          ,C129       ,245.4910    ,72.6288     ,270      ,TopLayer ,""                           
410461002          ,C130       ,235.5850    ,77.6986     ,180      ,TopLayer ,CAP-MAC-10uF35V              
